record type,booking id,service type,division name,run id,run pieces,run name,block number,piece number,start place,end place,sign on time of piece,start time of piece,end time of piece,clear time of piece,special trip option id,op days
51,1,2,,1179,,,112003,1,SN6542,SN16,662,662,1206,1206,,
50,1,2,,1180,1,1180,,,,,,,,,,
51,1,2,,1180,,,121401,1,SN16,SN3419,371,371,882,882,,
50,1,2,,1181,1,1181,,,,,,,,,,
51,1,2,,1181,,,121401,1,SN3419,SN16,885,885,1495,1495,,
50,1,2,,1182,1,1182,,,,,,,,,,
51,1,2,,1182,,,110604,1,SN16,SN5475,257,257,662,662,,
50,1,2,,1183,1,1183,,,,,,,,,,
51,1,2,,1183,,,120801,1,SN16,SN3419,264,264,703,703,,
50,1,2,,1184,1,1184,,,,,,,,,,
51,1,2,,1184,,,120801,1,SN3419,SN16,713,713,1109,1109,,
50,1,2,,1185,1,1185,,,,,,,,,,
51,1,2,,1185,,,111008,1,SN16,SN655,366,366,757,757,,
50,1,2,,1186,1,1186,,,,,,,,,,
51,1,2,,1186,,,111008,1,SN655,SN16,1193,1193,1641,1641,,
50,1,2,,1187,1,1187,,,,,,,,,,
51,1,2,,1187,,,110501,1,SN5475,SN16,1152,1152,1558,1558,,
50,1,2,,1188,1,1188,,,,,,,,,,
51,1,2,,1188,,,110501,1,SN16,SN5475,191,191,782,782,,
50,1,2,,1189,1,1189,,,,,,,,,,
51,1,2,,1189,,,110501,1,SN5475,SN5475,795,795,1141,1141,,
50,1,2,,1190,1,1190,,,,,,,,,,
51,1,2,,1190,,,121003,1,SN2770,SN16,1095,1095,1543,1543,,
50,1,2,,1191,1,1191,,,,,,,,,,
51,1,2,,1191,,,111505,1,SN16,SN677,295,295,749,749,,
50,1,2,,1192,1,1192,,,,,,,,,,
51,1,2,,1192,,,120610,1,SN3692,SN16,967,967,1394,1394,,
50,1,2,,1193,1,1193,,,,,,,,,,
51,1,2,,1193,,,120701,1,SN16,SN2017,331,331,779,779,,
50,1,2,,1194,1,1194,,,,,,,,,,
51,1,2,,1194,,,120701,1,SN2017,SN16,789,789,1164,1164,,
50,1,2,,1195,1,1195,,,,,,,,,,
51,1,2,,1195,,,120302,1,SN16,SN5943,221,221,781,781,,
50,1,2,,1196,1,1196,,,,,,,,,,
51,1,2,,1196,,,120302,1,SN5943,SN1571,800,800,1177,1177,,
50,1,2,,1197,1,1197,,,,,,,,,,
51,1,2,,1197,,,120607,1,SN3692,SN16,887,887,1501,1501,,
50,1,2,,1198,1,1198,,,,,,,,,,
51,1,2,,1198,,,121501,1,SN3419,SN20015,316,316,929,929,,
50,1,2,,1199,1,1199,,,,,,,,,,
51,1,2,,1199,,,121501,1,SN6214,SN16,941,941,1553,1553,,
50,1,2,,1200,1,1200,,,,,,,,,,
51,1,2,,1200,,,110605,1,SN3419,SN16,769,769,1122,1122,,
50,1,2,,1201,1,1201,,,,,,,,,,
51,1,2,,1201,,,110605,1,SN16,SN3419,301,301,766,766,,
50,1,2,,1202,1,1202,,,,,,,,,,
51,1,2,,1202,,,111310,1,SN6228,SN16,756,756,1388,1388,,
50,1,2,,1203,1,1203,,,,,,,,,,
51,1,2,,1203,,,111001,1,SN16,SN6775,73,73,714,714,,
50,1,2,,1204,1,1204,,,,,,,,,,
51,1,2,,1204,,,120610,1,SN16,SN3692,326,326,953,953,,
50,1,2,,1205,1,1205,,,,,,,,,,
51,1,2,,1205,,,121011,1,SN16,SN1496,805,805,1288,1288,,
50,1,2,,1206,1,1206,,,,,,,,,,
51,1,2,,1206,,,110104,1,SN16,SN5441,266,266,880,880,,
50,1,2,,1207,1,1207,,,,,,,,,,
51,1,2,,1207,,,110104,1,SN5441,SN16,1171,1171,1586,1586,,
50,1,2,,1208,1,1208,,,,,,,,,,
51,1,2,,1208,,,120609,1,SN3692,SN16,1144,1144,1606,1606,,
50,1,2,,1209,1,1209,,,,,,,,,,
51,1,2,,1209,,,120609,1,SN16,SN3692,297,297,695,695,,
50,1,2,,1210,1,1210,,,,,,,,,,
51,1,2,,1210,,,111001,1,SN3274,SN16,728,728,1129,1129,,
50,1,2,,1211,1,1211,,,,,,,,,,
51,1,2,,1211,,,120609,1,SN3692,SN3692,708,708,1127,1127,,
50,1,2,,1212,1,1212,,,,,,,,,,
51,1,2,,1212,,,111502,1,SN677,SN16,1125,1125,1469,1469,,
50,1,2,,1213,1,1213,,,,,,,,,,
51,1,2,,1213,,,120702,1,SN16,SN6549,324,324,772,772,,
50,1,2,,1214,1,1214,,,,,,,,,,
51,1,2,,1214,,,120303,1,SN1571,SN6775,838,838,1282,1282,,
50,1,2,,1215,1,1215,,,,,,,,,,
51,1,2,,1215,,,120303,1,SN16,SN1571,235,235,813,813,,
50,1,2,,1216,1,1216,,,,,,,,,,
