record type,booking id,direction num,direction name,route id,route variant,sequence num,total sequence num,from timepoint name,to timepoint name,from longitude,from latitude,to longitude,to latitude,from stop name,to stop name,from timepoint id,to timepoint id,from stop id,to stop id
80,1,1,INBOUND,101,-,7,58,,,-115.242414,36.224785,-115.242405,36.221195,SN2260,SN2259,0,0,2260,2259
80,1,1,INBOUND,101,-,8,58,,SN2189,-115.242405,36.221195,-115.24243,36.217347,SN2259,SN2189,0,2189,2259,2189
80,1,1,INBOUND,101,-,9,58,SN2189,,-115.24243,36.217347,-115.242406,36.215033,SN2189,SN2214,2189,0,2189,2214
80,1,1,INBOUND,101,-,10,58,,,-115.242406,36.215033,-115.242391,36.210149,SN2214,SN2224,0,0,2214,2224
80,1,1,INBOUND,101,-,11,58,,,-115.242391,36.210149,-115.242386,36.20647,SN2224,SN2262,0,0,2224,2262
80,1,1,INBOUND,101,-,12,58,,,-115.242386,36.20647,-115.2424,36.202831,SN2262,SN2232,0,0,2262,2232
80,1,1,INBOUND,101,-,13,58,,,-115.2424,36.202831,-115.24239,36.19934,SN2232,SN3220,0,0,2232,3220
80,1,1,INBOUND,101,-,14,58,,SN2211,-115.24239,36.19934,-115.242406,36.194403,SN3220,SN2211,0,2211,3220,2211
80,1,1,INBOUND,101,-,15,58,SN2211,,-115.242406,36.194403,-115.242414,36.191834,SN2211,SN5109,2211,0,2211,5109
80,1,1,INBOUND,101,-,16,58,,,-115.242414,36.191834,-115.242414,36.187962,SN5109,SN2251,0,0,5109,2251
80,1,1,INBOUND,101,-,17,58,,,-115.242414,36.187962,-115.242402,36.185028,SN2251,SN4038,0,0,2251,4038
80,1,1,INBOUND,101,-,18,58,,SN2253,-115.242402,36.185028,-115.242479,36.180135,SN4038,SN2253,0,2253,4038,2253
80,1,1,INBOUND,101,-,19,58,SN2253,,-115.242479,36.180135,-115.244581,36.173039,SN2253,SN2254,2253,0,2253,2254
80,1,1,INBOUND,101,-,20,58,,,-115.244581,36.173039,-115.244534,36.169996,SN2254,SN2256,0,0,2254,2256
80,1,1,INBOUND,101,-,21,58,,SN2182,-115.244534,36.169996,-115.244469,36.165939,SN2256,SN2182,0,2182,2256,2182
80,1,1,INBOUND,101,-,22,58,SN2182,,-115.244469,36.165939,-115.244019,36.161132,SN2182,SN2208,2182,0,2182,2208
80,1,1,INBOUND,101,-,23,58,,SN2187,-115.244019,36.161132,-115.243867,36.158408,SN2208,SN2187,0,2187,2208,2187
80,1,1,INBOUND,101,-,24,58,SN2187,,-115.243867,36.158408,-115.243678,36.154912,SN2187,SN2193,2187,0,2187,2193
80,1,1,INBOUND,101,-,25,58,,,-115.243678,36.154912,-115.243466,36.150976,SN2193,SN2220,0,0,2193,2220
80,1,1,INBOUND,101,-,26,58,,,-115.243466,36.150976,-115.243281,36.147311,SN2220,SN2217,0,0,2220,2217
80,1,1,INBOUND,101,-,27,58,,SN2229,-115.243281,36.147311,-115.24309,36.14347,SN2217,SN2229,0,2229,2217,2229
80,1,1,INBOUND,101,-,28,58,SN2229,,-115.24309,36.14347,-115.243101,36.140145,SN2229,SN2241,2229,0,2229,2241
80,1,1,INBOUND,101,-,29,58,,,-115.243101,36.140145,-115.243106,36.136265,SN2241,SN5833,0,0,2241,5833
80,1,1,INBOUND,101,-,30,58,,,-115.243106,36.136265,-115.243137,36.132773,SN5833,SN2190,0,0,5833,2190
80,1,1,INBOUND,101,-,31,58,,,-115.243137,36.132773,-115.243163,36.12884,SN2190,SN2195,0,0,2190,2195
80,1,1,INBOUND,101,-,32,58,,SN2235,-115.243163,36.12884,-115.243152,36.124646,SN2195,SN2235,0,2235,2195,2235
80,1,1,INBOUND,101,-,33,58,SN2235,,-115.243152,36.124646,-115.243149,36.121377,SN2235,SN2249,2235,0,2235,2249
80,1,1,INBOUND,101,-,34,58,,,-115.243149,36.121377,-115.243137,36.117713,SN2249,SN2199,0,0,2249,2199
80,1,1,INBOUND,101,-,35,58,,SN2201,-115.243137,36.117713,-115.243129,36.113531,SN2199,SN2201,0,2201,2199,2201
