place name,place description,longitude,latitude
SN5408,NB Decatur after Ann,-115.206988,36.262094
SN5409,SB Decatur after Craig,-115.207752,36.237987
SN5410,SB Camino Al Norte after Ann,-115.155901,36.260417
SN5411,WB Ann after Rainbow,-115.243106,36.263312
SN5416,EB Farm after Tule Springs,-115.277915,36.298956
SN5419,SB Whitney Ranch after Russell,-115.053932,36.081542
SN5422,SB Maryland after Silverado Ranch,-115.136919,36.012309
SN5423,EB Lake Mead after Fiesta Henderson,-115.006853,36.034309
SN5424,WB Lk Mead before Fiesta Henderson,-115.007151,36.034596
SN5427,SB Simmons before Lake Mead,-115.179002,36.19825
SN5428,NB Simmons after Lake Mead,-115.178669,36.198018
SN5432,SB Decatur after Ann,-115.207379,36.260883
SN5433,SB Decatur after Rome,-115.206786,36.27847
SN5435,NB Simmons after Craig,-115.179987,36.240304
SN5438,SB Rancho after Charleston,-115.172939,36.158577
SN5441,EB Lone Mountain before Rancho,-115.241333,36.247622
SN5442,EB Warm Springs after Las Vegas,-115.170474,36.05681
SN5448,EB Warm Springs after Rainbow,-115.242217,36.055664
SN5449,NB Buffalo after Patrick,-115.260647,36.078708
SN5458,EB Vegas Valley before Hollywood,-115.030472,36.137084
SN5461,SB Casino Center before Fremont,-115.144028,36.170924
SN5464,NB Casino Center before Garces,-115.148728,36.163565
SN5465,SB Casino Center at Garces,-115.148562,36.163872
SN5467,NB Casino Center at Coolidge,-115.151027,36.160046
SN5474,EB Ace before Grand Montecito,-115.284992,36.2935
SN5475,WB Ace after Grand Montecito,-115.285508,36.293721
SN5477,NB Rainbow after Badura,-115.242317,36.061828
SN5479,NB Gr Centr at LV Prem Outlets-Nort,-115.156343,36.163714
SN5480,EB Vegas Valley after Nellis,-115.064161,36.136902
SN5481,WB Vegas Valley after Nellis,-115.06603,36.137052
SN5525,SB Decatur before Cheyenne,-115.207657,36.217715
SN5545,EB Ann after Drexel,-115.24976,36.262984
SN5552,WB Ann after Eifel Tower,-115.249979,36.263223
SN5553,SB Centennial Center after Tropical,-115.264079,36.271197
SN5556,NB Centennial Center after Azure,-115.265109,36.272382
SN5607,EB Silverado Ranch after Las Vegas,-115.171657,36.013559
SN5646,SB Rancho before Sahara,-115.173275,36.145497
SN5706,NB Green Valley after Paseo Verde,-115.083659,36.021428
SN5712,EB Ann after Camino Al Norte,-115.155706,36.261465
SN5721,WB Russell after Whitney Ranch,-115.054385,36.082534
SN5725,CSN Hend Campus On Property Stop,-114.964727,36.006189
SN5727,EB Tropicana before Durango,-115.279988,36.09993
SN5728,WB Tropicana after Durango,-115.279999,36.100187
SN5730,NB Grand Canyon before Rochelle,-115.305927,36.11112
SN5731,WB Cheyenne after Metro Academy,-115.312848,36.218507
SN5740,WB Flamingo after Durango,-115.279658,36.115067
SN5745,WB Tropicana after Fort Apache,-115.298009,36.100182
SN5756,EB Tropicana after Fort Apache,-115.296581,36.099906
SN5764,SB Fort Apache after Flamingo,-115.297233,36.114128
SN5783,SB Durango after Flamingo,-115.279199,36.114308
